hour,Morning_Rush,Daytime,Evening_Rush,Night,Early_Morning
0,0.0,0.0,0.0,5902318.21,0.0
1,0.0,0.0,0.0,4400538.32,0.0
2,0.0,0.0,0.0,3303776.46,0.0
3,0.0,0.0,0.0,2537553.01,0.0
4,0.0,0.0,0.0,2046758.54,0.0
5,0.0,0.0,0.0,0.0,1951840.29
6,0.0,0.0,0.0,0.0,3404652.24
7,5318314.94,0.0,0.0,0.0,0.0
8,6426134.73,0.0,0.0,0.0,0.0
9,6601369.29,0.0,0.0,0.0,0.0
10,0.0,6433023.91,0.0,0.0,0.0
11,0.0,6727892.16,0.0,0.0,0.0
12,0.0,7171580.03,0.0,0.0,0.0
13,0.0,7343390.04,0.0,0.0,0.0
14,0.0,7939200.93,0.0,0.0,0.0
15,0.0,7873823.34,0.0,0.0,0.0
16,0.0,0.0,6899673.12,0.0,0.0
17,0.0,0.0,7711399.84,0.0,0.0
18,0.0,0.0,8909599.48,0.0,0.0
19,0.0,0.0,8874467.04,0.0,0.0
20,0.0,0.0,0.0,8355049.23,0.0
21,0.0,0.0,0.0,8380601.07,0.0
22,0.0,0.0,0.0,8308993.2,0.0
23,0.0,0.0,0.0,7406696.31,0.0
