date,payment_type,daily_revenue,trip_count,rank
2015-01-01,1,2477984.3200000287,187439,1
2015-01-01,2,2298137.35,190023,2
2015-01-01,3,14442.64,1085,3
2015-01-01,4,5469.030000000001,355,4
2015-01-02,1,2203686.389999987,175380,1
2015-01-02,2,1920367.11,166586,2
2015-01-02,3,10791.53,816,3
2015-01-02,4,3836.51,254,4
2015-01-03,1,2643913.6999999997,217447,1
2015-01-03,2,2020999.23,185676,2
2015-01-03,3,12359.03,956,3
2015-01-03,4,3942.5,263,4
2015-01-04,1,2508373.03,186419,1
2015-01-04,2,1601709.7400000002,139046,2
2015-01-04,3,10192.79,763,3
2015-01-04,4,4515.360000000001,258,4
2015-01-05,1,2745413.09,212170,1
2015-01-05,2,1622628.3800000001,147480,2
2015-01-05,3,10241.52,759,3
2015-01-05,4,3047.0,215,4
2015-01-06,1,2883601.1199999996,234582,1
2015-01-06,2,1602173.8,146052,2
2015-01-06,3,10457.090000000002,799,3
2015-01-06,4,3420.5,236,4
2015-01-07,1,3179473.33,267210,1
2015-01-07,2,1687208.1600000001,158444,2
2015-01-07,3,10709.19,843,3
2015-01-07,4,3484.0,264,4
2015-01-08,1,3455817.4099999997,284477,1
2015-01-08,2,1743928.25,162074,2
2015-01-08,3,10663.380000000001,941,3
2015-01-08,4,3935.51,272,4
2015-01-09,1,3482733.9899999998,279237,1
2015-01-09,2,1811350.1300000001,164309,2
2015-01-09,3,11701.04,962,3
2015-01-09,4,4731.0,331,4
2015-01-10,1,3694239.73,314313,1
2015-01-10,2,2079343.85,196237,2
2015-01-10,3,13846.550000000001,1164,3
2015-01-10,4,4317.02,343,4
2015-01-11,1,3251872.15,260917,1
2015-01-11,2,1714343.41,154447,2
2015-01-11,3,11968.609999999999,938,3
2015-01-11,4,3918.02,271,4
2015-01-12,1,3124955.53,249069,1
2015-01-12,2,1561378.03,143371,2
2015-01-12,3,10202.560000000001,861,3
2015-01-12,4,3832.14,260,4
2015-01-13,1,3591064.8800000004,288344,1
2015-01-13,2,1675758.87,155996,2
2015-01-13,3,10410.53,899,3
2015-01-13,4,3523.0,233,4
2015-01-14,1,3613923.82,286397,1
2015-01-14,2,1634771.2200000002,151609,2
2015-01-14,3,10357.65,862,3
2015-01-14,4,3655.8100000000004,259,4
2015-01-15,1,3762783.4700000007,292280,1
2015-01-15,2,1716286.74,154117,2
2015-01-15,3,12405.44,962,3
2015-01-15,4,3755.580000000001,267,4
2015-01-16,1,3811203.5299999993,300462,1
2015-01-16,2,1908420.1499999997,172644,2
2015-01-16,3,13178.93,1081,3
2015-01-16,4,4801.27,351,4
2015-01-17,1,3364956.9400000004,284205,1
2015-01-17,2,1991892.0300000003,187687,2
2015-01-17,3,14439.710000000001,1207,3
2015-01-17,4,4672.52,345,4
2015-01-18,1,3086036.7300000004,257345,1
2015-01-18,2,1776425.52,165288,2
2015-01-18,3,13160.59,1047,3
2015-01-18,4,4129.030000000001,287,4
2015-01-19,1,2720536.08,212258,1
2015-01-19,2,1393766.91,127054,2
2015-01-19,3,9783.15,759,3
2015-01-19,4,2872.0,216,4
2015-01-19,5,6.0,1,5
2015-01-20,1,3293161.4599999995,259389,1
2015-01-20,2,1537460.91,142044,2
2015-01-20,3,9505.160000000002,804,3
2015-01-20,4,3504.5,254,4
2015-01-21,1,3469405.56,279940,1
2015-01-21,2,1584416.65,147505,2
2015-01-21,3,10601.83,850,3
2015-01-21,4,3850.0,250,4
2015-01-22,1,3726733.52,294924,1
2015-01-22,2,1675054.6300000001,152945,2
2015-01-22,3,11970.12,946,3
2015-01-22,4,3815.01,287,4
2015-01-23,1,3831933.95,301120,1
2015-01-23,2,1842215.9400000002,166562,2
2015-01-23,3,12268.050000000001,1018,3
2015-01-23,4,4095.02,295,4
2015-01-24,1,3248746.56,283007,1
2015-01-24,2,1799705.07,173102,2
2015-01-24,3,11822.2,998,3
2015-01-24,4,4040.8,292,4
2015-01-25,1,3200261.75,255407,1
2015-01-25,2,1654068.83,147824,2
2015-01-25,3,11961.25,989,3
2015-01-25,4,4098.52,305,4
2015-01-26,1,1716290.88,138491,1
2015-01-26,2,980822.7000000001,89094,2
2015-01-26,3,6697.92,555,3
2015-01-26,4,2408.04,171,4
2015-01-27,1,786103.08,82978,1
2015-01-27,2,462239.25,51531,2
2015-01-27,3,2192.0,223,3
2015-01-27,4,515.0,59,4
2015-01-28,1,3102110.0599999996,246551,1
2015-01-28,2,1444476.84,129920,2
2015-01-28,3,11550.32,864,3
2015-01-28,4,3027.5,207,4
2015-01-29,1,3705067.25,282266,1
2015-01-29,2,1693206.5800000003,145458,2
2015-01-29,3,12816.050000000001,951,3
2015-01-29,4,3640.5,263,4
2015-01-30,1,3925279.37,310615,1
2015-01-30,2,1874342.9700000002,167899,2
2015-01-30,3,14585.59,1155,3
2015-01-30,4,4674.8099999999995,333,4
2015-01-31,1,3819542.7999999993,324685,1
2015-01-31,2,2022100.5100000002,190178,2
2015-01-31,3,15031.060000000001,1287,3
2015-01-31,4,4593.51,353,4
